# ratesweep 127.0.0.1:47190 bound 1e-05 1e-09 (A.3 default)
config	epoch_tt	object	lon_err	lat_err	dist_err_au_per_day	dist_err_per_au	flag
geo astrometric, ICRF, equatorial	2451545.0	Mercury osc aphelion	2.3411e-11	3.6172e-12	2.0553e-13	1.4434e-13	
geo astrometric, ICRF, equatorial	2451545.0	Venus mean asc node	5.4925e-11	4.4180e-11	2.2054e-12	2.2054e-12	
geo astrometric, ICRF, equatorial	2451545.0	Venus osc asc node	2.7725e-11	3.6982e-11	1.9227e-12	1.9227e-12	
geo astrometric, ICRF, equatorial	2451545.0	Venus mean desc node	6.9365e-11	9.0493e-14	2.6811e-13	1.6017e-13	
geo astrometric, ICRF, equatorial	2451545.0	Venus osc desc node	4.3638e-11	1.6527e-12	3.6103e-13	2.1569e-13	
geo astrometric, ICRF, equatorial	2451545.0	Venus mean perihelion	1.9474e-11	8.2286e-12	2.7553e-13	2.7553e-13	
geo astrometric, ICRF, equatorial	2451545.0	Venus osc perihelion	4.2766e-09	1.9131e-10	1.5485e-10	1.5485e-10	
geo astrometric, ICRF, equatorial	2451545.0	Venus mean aphelion	1.9145e-11	1.5107e-11	6.0677e-13	3.6780e-13	
geo astrometric, ICRF, equatorial	2451545.0	Venus osc aphelion	7.9996e-10	6.7462e-11	5.8003e-12	3.5184e-12	
geo astrometric, ICRF, equatorial	2451545.0	Mars mean asc node	2.9484e-11	6.3284e-12	1.0393e-12	9.1027e-13	
geo astrometric, ICRF, equatorial	2451545.0	Mars osc asc node	4.9108e-10	2.1973e-10	8.5051e-12	7.4493e-12	
geo astrometric, ICRF, equatorial	2451545.0	Mars mean desc node	5.0355e-11	1.5355e-11	7.5951e-13	3.2985e-13	
geo astrometric, ICRF, equatorial	2451545.0	Mars osc desc node	1.9594e-10	3.7035e-11	3.0759e-12	1.3358e-12	
geo astrometric, ICRF, equatorial	2451545.0	Mars mean perihelion	2.4682e-11	5.9099e-12	1.3055e-13	6.2197e-14	
geo astrometric, ICRF, equatorial	2451545.0	Mars osc perihelion	9.8626e-12	7.0253e-12	3.3294e-13	1.5864e-13	
geo astrometric, ICRF, equatorial	2451545.0	Mars mean aphelion	4.7544e-11	2.3537e-12	3.5196e-13	2.5557e-13	
geo astrometric, ICRF, equatorial	2451545.0	Mars osc aphelion	2.0443e-10	8.9958e-11	1.1139e-11	8.0853e-12	
geo astrometric, ICRF, equatorial	2451545.0	Jupiter mean asc node	1.0965e-09	5.4353e-11	5.2067e-12	1.2428e-12	
geo astrometric, ICRF, equatorial	2451545.0	Jupiter osc asc node	1.4807e-09	6.4064e-11	1.8257e-12	4.3612e-13	
geo astrometric, ICRF, equatorial	2451545.0	Jupiter mean desc node	7.0191e-11	8.7545e-12	4.0270e-12	6.5039e-13	
geo astrometric, ICRF, equatorial	2451545.0	Jupiter osc desc node	1.7799e-10	1.0208e-11	6.4344e-12	1.0382e-12	
geo astrometric, ICRF, equatorial	2451545.0	Jupiter mean perihelion	1.7735e-11	3.7556e-12	2.1874e-12	4.3944e-13	
geo astrometric, ICRF, equatorial	2451545.0	Jupiter osc perihelion	1.0494e-09	4.5419e-10	1.1998e-11	2.4192e-12	
geo astrometric, ICRF, equatorial	2451545.0	Jupiter mean aphelion	5.1854e-12	2.3188e-14	1.6500e-12	2.9403e-13	
geo astrometric, ICRF, equatorial	2451545.0	Jupiter osc aphelion	1.3212e-09	5.4513e-10	4.6088e-11	8.1822e-12	
geo astrometric, ICRF, equatorial	2451545.0	Saturn mean asc node	1.4210e-10	2.7421e-11	4.4974e-12	5.5480e-13	
geo astrometric, ICRF, equatorial	2451545.0	Saturn osc asc node	5.9711e-10	1.0753e-10	3.0935e-12	3.8025e-13	
geo astrometric, ICRF, equatorial	2451545.0	Saturn mean desc node	1.8966e-10	2.1702e-11	7.1865e-12	6.5338e-13	
geo astrometric, ICRF, equatorial	2451545.0	Saturn osc desc node	1.0656e-10	1.9600e-11	1.2735e-11	1.1552e-12	
geo astrometric, ICRF, equatorial	2451545.0	Saturn mean perihelion	7.2167e-12	2.2798e-11	4.0919e-12	5.0796e-13	
geo astrometric, ICRF, equatorial	2451545.0	Saturn osc perihelion	1.3536e-09	1.0035e-10	1.2315e-11	1.5234e-12	
geo astrometric, ICRF, equatorial	2451545.0	Saturn mean aphelion	1.1683e-11	2.3028e-11	1.3250e-12	1.1986e-13	
geo astrometric, ICRF, equatorial	2451545.0	Saturn osc aphelion	2.8850e-10	5.9775e-12	1.1483e-11	1.0360e-12	
geo astrometric, ICRF, equatorial	2451545.0	Moon natural apogee	2.1362e-09	2.4426e-09	8.6483e-14	8.6483e-14	
geo astrometric, ICRF, equatorial	2451545.0	Moon natural perigee	1.7876e-09	7.1656e-09	1.1797e-13	1.1797e-13	
geo astrometric, ICRF, equatorial	2451545.0	Sirius	3.8962e-12	1.1796e-12	2.2751e-08	4.1827e-14	OVER
geo astrometric, ICRF, equatorial	2451545.0	Vega	3.9929e-11	1.3015e-11	1.8573e-07	1.1726e-13	OVER
geo astrometric, ICRF, equatorial	2451545.0	Polaris	2.2145e-11	1.3536e-11	1.2879e-06	4.7078e-14	OVER
geo astrometric, ICRF, equatorial	2451545.0	Rigil Kentaurus	7.5942e-12	1.6085e-12	5.6708e-08	2.0754e-13	OVER
geo astrometric, ICRF, equatorial	2461300.5	Sun	9.3577e-12	9.1677e-13	3.6546e-13	3.6354e-13	
geo astrometric, ICRF, equatorial	2461300.5	Moon	1.5173e-09	5.1954e-10	1.3283e-13	1.3283e-13	
geo astrometric, ICRF, equatorial	2461300.5	Mercury	4.7917e-12	1.4168e-11	3.3847e-13	2.5645e-13	
geo astrometric, ICRF, equatorial	2461300.5	Venus	5.0571e-11	6.3155e-13	1.5812e-13	1.5812e-13	
geo astrometric, ICRF, equatorial	2461300.5	Earth					unanswered errCode 2
geo astrometric, ICRF, equatorial	2461300.5	Mars	3.8882e-12	1.7435e-11	4.7353e-13	2.6954e-13	
geo astrometric, ICRF, equatorial	2461300.5	Jupiter	1.0227e-11	3.7104e-12	7.4889e-13	1.2341e-13	
geo astrometric, ICRF, equatorial	2461300.5	Saturn	9.2835e-12	9.2244e-13	1.8375e-12	2.1666e-13	
geo astrometric, ICRF, equatorial	2461300.5	Uranus	2.6952e-11	5.1778e-12	5.5984e-12	2.9308e-13	
geo astrometric, ICRF, equatorial	2461300.5	Neptune	1.8327e-12	8.7014e-15	1.6662e-11	5.7683e-13	
geo astrometric, ICRF, equatorial	2461300.5	Pluto	9.2700e-12	4.3676e-12	1.7764e-12	5.0813e-14	
geo astrometric, ICRF, equatorial	2461300.5	Moon mean asc node	6.3007e-09	2.5634e-09	6.9014e-13	6.9014e-13	
geo astrometric, ICRF, equatorial	2461300.5	Moon osc asc node	3.3422e-09	8.7302e-10	2.0528e-13	2.0528e-13	
geo astrometric, ICRF, equatorial	2461300.5	Moon mean desc node	9.2203e-10	4.3054e-10	2.5389e-13	2.5389e-13	
geo astrometric, ICRF, equatorial	2461300.5	Moon osc desc node	9.6264e-09	3.6781e-09	8.5033e-13	8.5033e-13	
geo astrometric, ICRF, equatorial	2461300.5	Moon mean perihelion	4.0778e-09	8.9618e-10	7.3460e-14	7.3460e-14	
geo astrometric, ICRF, equatorial	2461300.5	Moon osc perihelion	5.0993e-07	2.8317e-08	3.1318e-12	3.1318e-12	
geo astrometric, ICRF, equatorial	2461300.5	Moon mean aphelion	2.3126e-08	2.2124e-10	1.7525e-14	1.7525e-14	
geo astrometric, ICRF, equatorial	2461300.5	Moon osc aphelion	7.0492e-08	3.7724e-09	8.9425e-14	8.9425e-14	
geo astrometric, ICRF, equatorial	2461300.5	Mercury mean asc node	1.0541e-11	3.5933e-12	1.6772e-13	1.6772e-13	
geo astrometric, ICRF, equatorial	2461300.5	Mercury osc asc node	2.9712e-11	8.9189e-12	8.9685e-15	8.9685e-15	
geo astrometric, ICRF, equatorial	2461300.5	Mercury mean desc node	2.4344e-11	5.8881e-12	7.9003e-13	5.9857e-13	
geo astrometric, ICRF, equatorial	2461300.5	Mercury osc desc node	2.0306e-11	8.7034e-12	2.8045e-13	2.1248e-13	
geo astrometric, ICRF, equatorial	2461300.5	Mercury mean perihelion	1.2549e-11	2.1251e-12	1.1890e-13	1.1682e-13	
geo astrometric, ICRF, equatorial	2461300.5	Mercury osc perihelion	6.0096e-13	1.0626e-11	4.2745e-13	4.2000e-13	
geo astrometric, ICRF, equatorial	2461300.5	Mercury mean aphelion	4.1903e-12	3.1466e-12	4.6453e-13	4.0226e-13	
geo astrometric, ICRF, equatorial	2461300.5	Mercury osc aphelion	4.4685e-11	3.5412e-11	1.5335e-12	1.3280e-12	
geo astrometric, ICRF, equatorial	2461300.5	Venus mean asc node	1.3906e-10	3.0837e-11	5.3266e-12	4.5884e-12	
geo astrometric, ICRF, equatorial	2461300.5	Venus osc asc node	1.4367e-10	4.1840e-11	2.1535e-12	1.8550e-12	
geo astrometric, ICRF, equatorial	2461300.5	Venus mean desc node	4.1984e-11	1.6056e-11	1.1628e-12	8.8629e-13	
geo astrometric, ICRF, equatorial	2461300.5	Venus osc desc node	7.2734e-11	3.1410e-11	2.6422e-12	2.0139e-12	
geo astrometric, ICRF, equatorial	2461300.5	Venus mean perihelion	5.2848e-11	1.4353e-11	4.2582e-13	2.6435e-13	
geo astrometric, ICRF, equatorial	2461300.5	Venus osc perihelion	1.2203e-09	5.3554e-10	1.7209e-11	1.0685e-11	
geo astrometric, ICRF, equatorial	2461300.5	Venus mean aphelion	3.8173e-11	1.7595e-11	3.2067e-13	3.2067e-13	
geo astrometric, ICRF, equatorial	2461300.5	Venus osc aphelion	3.9785e-10	4.8295e-10	7.4306e-11	7.4306e-11	
geo astrometric, ICRF, equatorial	2461300.5	Mars mean asc node	2.2391e-10	2.2942e-12	3.9082e-12	3.1867e-12	
geo astrometric, ICRF, equatorial	2461300.5	Mars osc asc node	1.2236e-09	2.8901e-12	2.2944e-11	1.8707e-11	
geo astrometric, ICRF, equatorial	2461300.5	Mars mean desc node	2.7740e-10	1.0920e-10	4.6006e-12	2.0210e-12	
geo astrometric, ICRF, equatorial	2461300.5	Mars osc desc node	1.2708e-10	3.4688e-11	2.5435e-13	1.1174e-13	
geo astrometric, ICRF, equatorial	2461300.5	Mars mean perihelion	3.9901e-12	1.7868e-12	1.5622e-13	1.5622e-13	
geo astrometric, ICRF, equatorial	2461300.5	Mars osc perihelion	5.9770e-10	1.3211e-10	4.0376e-12	4.0376e-12	
geo astrometric, ICRF, equatorial	2461300.5	Mars mean aphelion	2.4594e-12	2.6989e-12	1.3144e-12	4.9759e-13	
geo astrometric, ICRF, equatorial	2461300.5	Mars osc aphelion	8.4339e-12	1.1461e-12	6.0004e-13	2.2718e-13	
geo astrometric, ICRF, equatorial	2461300.5	Jupiter mean asc node	3.0591e-10	4.9174e-11	1.2073e-11	2.1776e-12	
geo astrometric, ICRF, equatorial	2461300.5	Jupiter osc asc node	1.7250e-10	2.4852e-11	1.8578e-12	3.3500e-13	
geo astrometric, ICRF, equatorial	2461300.5	Jupiter mean desc node	8.5701e-10	2.5003e-11	1.8552e-11	3.6993e-12	
geo astrometric, ICRF, equatorial	2461300.5	Jupiter osc desc node	6.2798e-10	6.1263e-13	1.4628e-11	2.9182e-12	
geo astrometric, ICRF, equatorial	2461300.5	Jupiter mean perihelion	8.9712e-12	4.6116e-12	7.9428e-13	1.9722e-13	
geo astrometric, ICRF, equatorial	2461300.5	Jupiter osc perihelion	1.4456e-09	6.0105e-10	9.0041e-12	2.2376e-12	
geo astrometric, ICRF, equatorial	2461300.5	Jupiter mean aphelion	1.5624e-11	7.1366e-12	3.3451e-12	5.2234e-13	
geo astrometric, ICRF, equatorial	2461300.5	Jupiter osc aphelion	1.9144e-10	9.1999e-11	4.4268e-13	6.9106e-14	
geo astrometric, ICRF, equatorial	2461300.5	Saturn mean asc node	2.3210e-10	2.4964e-11	3.4279e-12	3.5711e-13	
geo astrometric, ICRF, equatorial	2461300.5	Saturn osc asc node	4.9900e-10	1.0330e-10	1.4570e-12	1.5204e-13	
geo astrometric, ICRF, equatorial	2461300.5	Saturn mean desc node	2.3108e-10	1.1909e-11	2.4672e-12	2.5752e-13	
geo astrometric, ICRF, equatorial	2461300.5	Saturn osc desc node	6.2833e-10	5.7838e-11	1.7211e-12	1.7991e-13	
geo astrometric, ICRF, equatorial	2461300.5	Saturn mean perihelion	7.9609e-12	2.1296e-11	6.1424e-12	6.6508e-13	
geo astrometric, ICRF, equatorial	2461300.5	Saturn osc perihelion	6.5556e-10	3.2760e-11	1.7014e-12	1.8454e-13	
geo astrometric, ICRF, equatorial	2461300.5	Saturn mean aphelion	4.8390e-11	1.0346e-11	1.3049e-13	1.3081e-14	
geo astrometric, ICRF, equatorial	2461300.5	Saturn osc aphelion	2.3137e-10	3.7586e-12	1.5077e-12	1.5137e-13	
geo astrometric, ICRF, equatorial	2461300.5	Moon natural apogee	6.8590e-08	1.3105e-09	7.6773e-15	7.6773e-15	
geo astrometric, ICRF, equatorial	2461300.5	Moon natural perigee	1.2129e-08	1.1612e-09	1.9109e-14	1.9109e-14	
geo astrometric, ICRF, equatorial	2461300.5	Sirius	1.5422e-11	1.3129e-11	2.3667e-07	4.3514e-13	OVER
geo astrometric, ICRF, equatorial	2461300.5	Vega	7.4322e-12	6.0688e-12	2.5488e-07	1.6094e-13	OVER
geo astrometric, ICRF, equatorial	2461300.5	Polaris	7.9476e-12	4.2522e-12	1.1343e-06	4.1463e-14	OVER
geo astrometric, ICRF, equatorial	2461300.5	Rigil Kentaurus	1.3936e-11	1.5395e-11	1.1123e-07	4.0721e-13	OVER
geo astrometric, ICRF, equatorial	2488069.5	Sun	1.2993e-11	7.3198e-12	4.1159e-13	4.1159e-13	
geo astrometric, ICRF, equatorial	2488069.5	Moon	1.1446e-09	3.8899e-09	1.1775e-13	1.1775e-13	
geo astrometric, ICRF, equatorial	2488069.5	Mercury	5.5706e-11	8.8792e-12	3.9043e-13	2.8167e-13	
geo astrometric, ICRF, equatorial	2488069.5	Venus	1.2123e-11	4.5927e-12	1.4432e-13	1.2820e-13	
geo astrometric, ICRF, equatorial	2488069.5	Earth					unanswered errCode 2
geo astrometric, ICRF, equatorial	2488069.5	Mars	2.4293e-11	4.7214e-11	4.9504e-13	4.9504e-13	
geo astrometric, ICRF, equatorial	2488069.5	Jupiter	2.1040e-11	6.3814e-13	1.9685e-12	3.5495e-13	
geo astrometric, ICRF, equatorial	2488069.5	Saturn	2.0839e-11	7.2799e-14	1.2593e-13	1.2754e-14	
geo astrometric, ICRF, equatorial	2488069.5	Uranus	2.3922e-12	1.5597e-12	1.0354e-12	5.2226e-14	
geo astrometric, ICRF, equatorial	2488069.5	Neptune	1.0315e-11	8.3933e-13	1.7637e-11	5.9175e-13	
geo astrometric, ICRF, equatorial	2488069.5	Pluto	4.3541e-12	1.5767e-12	1.9278e-11	3.9687e-13	
geo astrometric, ICRF, equatorial	2488069.5	Moon mean asc node	1.2679e-09	4.5728e-09	3.3722e-14	3.3722e-14	
geo astrometric, ICRF, equatorial	2488069.5	Moon osc asc node	5.7513e-09	2.1840e-09	9.3357e-13	9.3357e-13	
geo astrometric, ICRF, equatorial	2488069.5	Moon mean desc node	8.9030e-09	2.9562e-09	1.4614e-13	1.4614e-13	
geo astrometric, ICRF, equatorial	2488069.5	Moon osc desc node	4.1027e-09	6.2735e-11	3.0044e-13	3.0044e-13	
geo astrometric, ICRF, equatorial	2488069.5	Moon mean perihelion	2.3681e-07	1.2728e-07	1.3153e-13	1.3153e-13	
geo astrometric, ICRF, equatorial	2488069.5	Moon osc perihelion	7.6617e-08	4.6588e-08	2.9061e-13	2.9061e-13	
geo astrometric, ICRF, equatorial	2488069.5	Moon mean aphelion	1.1268e-07	5.6748e-08	1.9086e-13	1.9086e-13	
geo astrometric, ICRF, equatorial	2488069.5	Moon osc aphelion	1.8767e-06	1.0152e-06	1.2222e-11	1.2222e-11	
geo astrometric, ICRF, equatorial	2488069.5	Mercury mean asc node	1.1567e-11	7.8372e-12	5.3920e-14	5.3920e-14	
geo astrometric, ICRF, equatorial	2488069.5	Mercury osc asc node	2.7756e-13	8.7589e-12	4.4170e-13	4.4170e-13	
geo astrometric, ICRF, equatorial	2488069.5	Mercury mean desc node	2.4425e-11	1.0362e-11	4.8957e-13	3.7236e-13	
geo astrometric, ICRF, equatorial	2488069.5	Mercury osc desc node	2.9509e-12	3.3375e-12	1.8859e-12	1.4344e-12	
geo astrometric, ICRF, equatorial	2488069.5	Mercury mean perihelion	3.0722e-11	2.3515e-11	5.3645e-13	5.3645e-13	
geo astrometric, ICRF, equatorial	2488069.5	Mercury osc perihelion	4.2436e-11	4.9304e-12	1.2535e-12	1.2535e-12	
geo astrometric, ICRF, equatorial	2488069.5	Mercury mean aphelion	1.8836e-11	5.1165e-12	5.0193e-13	3.5180e-13	
geo astrometric, ICRF, equatorial	2488069.5	Mercury osc aphelion	3.0260e-11	3.2832e-12	2.1486e-13	1.5060e-13	
geo astrometric, ICRF, equatorial	2488069.5	Venus mean asc node	8.3119e-11	5.3930e-12	2.6732e-12	2.6732e-12	
geo astrometric, ICRF, equatorial	2488069.5	Venus osc asc node	1.2178e-10	1.0837e-11	2.5196e-12	2.5196e-12	
geo astrometric, ICRF, equatorial	2488069.5	Venus mean desc node	6.3642e-11	1.6919e-11	1.9110e-13	1.1403e-13	
geo astrometric, ICRF, equatorial	2488069.5	Venus osc desc node	4.3664e-10	1.1961e-11	2.8096e-12	1.6766e-12	
geo astrometric, ICRF, equatorial	2488069.5	Venus mean perihelion	4.0479e-11	6.6494e-12	2.9174e-13	2.9174e-13	
geo astrometric, ICRF, equatorial	2488069.5	Venus osc perihelion	1.8244e-09	2.4126e-10	7.5173e-11	7.5173e-11	
geo astrometric, ICRF, equatorial	2488069.5	Venus mean aphelion	3.3396e-11	3.2958e-12	4.0058e-14	2.4351e-14	
geo astrometric, ICRF, equatorial	2488069.5	Venus osc aphelion	8.7913e-10	2.1574e-10	7.4316e-12	4.5173e-12	
geo astrometric, ICRF, equatorial	2488069.5	Mars mean asc node	6.0475e-10	2.8432e-10	1.0434e-11	9.2280e-12	
geo astrometric, ICRF, equatorial	2488069.5	Mars osc asc node	9.6743e-10	4.1382e-10	1.8105e-11	1.6013e-11	
geo astrometric, ICRF, equatorial	2488069.5	Mars mean desc node	1.4449e-10	1.3270e-11	1.6321e-12	7.0655e-13	
geo astrometric, ICRF, equatorial	2488069.5	Mars osc desc node	6.6907e-12	2.0929e-11	6.8577e-12	2.9686e-12	
geo astrometric, ICRF, equatorial	2488069.5	Mars mean perihelion	1.0127e-11	8.8026e-12	4.1998e-15	2.0156e-15	
geo astrometric, ICRF, equatorial	2488069.5	Mars osc perihelion	2.7700e-10	8.7527e-11	2.4632e-12	1.1825e-12	
geo astrometric, ICRF, equatorial	2488069.5	Mars mean aphelion	1.8375e-11	7.6174e-12	4.1562e-13	2.9584e-13	
geo astrometric, ICRF, equatorial	2488069.5	Mars osc aphelion	1.1075e-10	8.3629e-11	3.3379e-12	2.3743e-12	
geo astrometric, ICRF, equatorial	2488069.5	Jupiter mean asc node	7.2112e-10	7.8688e-11	3.4295e-12	8.1905e-13	
geo astrometric, ICRF, equatorial	2488069.5	Jupiter osc asc node	8.8290e-11	1.2894e-12	3.1728e-12	7.5738e-13	
geo astrometric, ICRF, equatorial	2488069.5	Jupiter mean desc node	2.0526e-12	2.7262e-12	6.3184e-13	1.0201e-13	
geo astrometric, ICRF, equatorial	2488069.5	Jupiter osc desc node	3.9454e-11	5.9863e-12	1.3683e-12	2.2082e-13	
geo astrometric, ICRF, equatorial	2488069.5	Jupiter mean perihelion	2.7324e-11	1.5571e-11	5.9777e-12	1.2067e-12	
geo astrometric, ICRF, equatorial	2488069.5	Jupiter osc perihelion	1.9333e-10	5.0828e-11	8.5394e-12	1.7225e-12	
geo astrometric, ICRF, equatorial	2488069.5	Jupiter mean aphelion	5.3657e-12	9.2962e-12	8.3628e-13	1.4841e-13	
geo astrometric, ICRF, equatorial	2488069.5	Jupiter osc aphelion	3.0396e-10	1.2224e-10	4.2304e-12	7.5082e-13	
geo astrometric, ICRF, equatorial	2488069.5	Saturn mean asc node	2.2484e-10	3.1199e-11	1.1877e-11	1.4646e-12	
geo astrometric, ICRF, equatorial	2488069.5	Saturn osc asc node	2.4623e-10	4.9717e-11	1.1226e-11	1.3811e-12	
geo astrometric, ICRF, equatorial	2488069.5	Saturn mean desc node	2.3262e-10	2.2275e-11	3.2249e-12	2.9324e-13	
geo astrometric, ICRF, equatorial	2488069.5	Saturn osc desc node	1.5509e-10	6.0637e-12	1.2795e-11	1.1605e-12	
geo astrometric, ICRF, equatorial	2488069.5	Saturn mean perihelion	1.4271e-11	2.6980e-11	4.9388e-12	6.1317e-13	
geo astrometric, ICRF, equatorial	2488069.5	Saturn osc perihelion	2.2857e-11	2.2087e-11	5.0030e-11	6.1944e-12	
geo astrometric, ICRF, equatorial	2488069.5	Saturn mean aphelion	1.1126e-11	1.4494e-11	6.8835e-12	6.2270e-13	
geo astrometric, ICRF, equatorial	2488069.5	Saturn osc aphelion	3.5245e-10	8.6581e-12	1.3013e-11	1.1748e-12	
geo astrometric, ICRF, equatorial	2488069.5	Moon natural apogee	2.1884e-07	9.4356e-08	2.1815e-13	2.1815e-13	
geo astrometric, ICRF, equatorial	2488069.5	Moon natural perigee	4.7601e-07	1.9589e-07	2.8362e-13	2.8362e-13	
geo astrometric, ICRF, equatorial	2488069.5	Sirius	1.7391e-11	2.6013e-12	6.2313e-08	1.1459e-13	OVER
geo astrometric, ICRF, equatorial	2488069.5	Vega	2.1874e-11	3.4030e-11	1.9208e-08	1.2130e-14	OVER
geo astrometric, ICRF, equatorial	2488069.5	Polaris	1.6848e-11	1.7303e-12	2.4526e-06	8.9656e-14	OVER
geo astrometric, ICRF, equatorial	2488069.5	Rigil Kentaurus	4.4366e-12	5.7814e-13	6.4695e-08	2.3705e-13	OVER
geo apparent, J2000, ecliptic	2378496.5	Sun	1.4419e-11	2.9483e-11	5.3318e-13	5.3318e-13	
geo apparent, J2000, ecliptic	2378496.5	Moon	8.2193e-09	6.7804e-09	8.1320e-14	8.1320e-14	
geo apparent, J2000, ecliptic	2378496.5	Mercury	9.3133e-11	3.1965e-11	2.1937e-12	2.1937e-12	
geo apparent, J2000, ecliptic	2378496.5	Venus	7.6927e-11	3.6101e-11	3.8727e-13	3.8727e-13	
geo apparent, J2000, ecliptic	2378496.5	Earth					unanswered errCode 2
geo apparent, J2000, ecliptic	2378496.5	Mars	1.5092e-11	7.4720e-12	2.1721e-12	9.6855e-13	
geo apparent, J2000, ecliptic	2378496.5	Jupiter	8.1622e-12	1.3526e-11	4.2096e-12	1.0071e-12	
geo apparent, J2000, ecliptic	2378496.5	Saturn	1.1253e-11	9.5923e-12	1.0236e-12	1.2441e-13	
geo apparent, J2000, ecliptic	2378496.5	Uranus	2.0363e-11	1.9022e-12	1.3687e-11	7.5839e-13	
geo apparent, J2000, ecliptic	2378496.5	Neptune	2.4791e-11	2.9687e-11	3.6455e-11	1.1801e-12	
geo apparent, J2000, ecliptic	2378496.5	Pluto	3.1490e-11	2.9160e-12	4.3379e-11	1.0448e-12	
geo apparent, J2000, ecliptic	2378496.5	Moon mean asc node	1.8019e-09	4.6923e-09	2.8361e-13	2.8361e-13	
geo apparent, J2000, ecliptic	2378496.5	Moon osc asc node	1.1889e-09	4.8478e-09	7.3311e-15	7.3311e-15	
geo apparent, J2000, ecliptic	2378496.5	Moon mean desc node	1.4099e-09	6.8145e-10	4.4219e-14	4.4219e-14	
geo apparent, J2000, ecliptic	2378496.5	Moon osc desc node	8.8086e-09	1.0138e-09	3.2933e-13	3.2933e-13	
geo apparent, J2000, ecliptic	2378496.5	Moon mean perihelion	1.8543e-08	3.6774e-09	2.6267e-13	2.6267e-13	
geo apparent, J2000, ecliptic	2378496.5	Moon osc perihelion	6.6241e-07	6.5883e-08	1.8555e-12	1.8555e-12	
geo apparent, J2000, ecliptic	2378496.5	Moon mean aphelion	2.6489e-07	1.3987e-08	5.2084e-15	5.2084e-15	
geo apparent, J2000, ecliptic	2378496.5	Moon osc aphelion	5.3352e-09	6.9658e-09	1.1914e-13	1.1914e-13	
geo apparent, J2000, ecliptic	2378496.5	Mercury mean asc node	3.7843e-11	3.9405e-11	3.7581e-13	3.7581e-13	
geo apparent, J2000, ecliptic	2378496.5	Mercury osc asc node	2.1631e-11	8.0883e-12	9.2913e-13	9.2913e-13	
geo apparent, J2000, ecliptic	2378496.5	Mercury mean desc node	2.2086e-11	2.5114e-11	3.3264e-13	2.5598e-13	
geo apparent, J2000, ecliptic	2378496.5	Mercury osc desc node	1.1252e-11	3.1849e-11	4.4253e-13	3.4054e-13	
geo apparent, J2000, ecliptic	2378496.5	Mercury mean perihelion	5.7572e-12	2.3494e-11	5.7454e-14	5.7454e-14	
geo apparent, J2000, ecliptic	2378496.5	Mercury osc perihelion	1.7039e-10	4.5006e-11	2.4085e-12	2.4085e-12	
geo apparent, J2000, ecliptic	2378496.5	Mercury mean aphelion	4.6851e-11	2.4131e-11	3.9333e-13	2.7771e-13	
geo apparent, J2000, ecliptic	2378496.5	Mercury osc aphelion	1.3287e-11	2.9704e-12	7.3258e-14	5.1723e-14	
geo apparent, J2000, ecliptic	2378496.5	Venus mean asc node	6.8415e-11	5.6601e-11	1.2294e-12	1.2294e-12	
geo apparent, J2000, ecliptic	2378496.5	Venus osc asc node	1.9655e-11	7.2899e-11	1.0366e-12	1.0366e-12	
geo apparent, J2000, ecliptic	2378496.5	Venus mean desc node	1.2858e-10	2.2189e-11	3.6074e-14	2.1626e-14	
geo apparent, J2000, ecliptic	2378496.5	Venus osc desc node	1.9484e-10	7.9102e-12	1.9592e-12	1.1745e-12	
geo apparent, J2000, ecliptic	2378496.5	Venus mean perihelion	2.9289e-11	3.3842e-11	7.0503e-13	7.0503e-13	
geo apparent, J2000, ecliptic	2378496.5	Venus osc perihelion	4.1526e-09	5.7443e-10	1.1409e-10	1.1409e-10	
geo apparent, J2000, ecliptic	2378496.5	Venus mean aphelion	6.2786e-11	1.6577e-11	1.6066e-12	9.6757e-13	
geo apparent, J2000, ecliptic	2378496.5	Venus osc aphelion	7.0904e-10	1.1829e-10	8.5210e-12	5.1320e-12	
geo apparent, J2000, ecliptic	2378496.5	Mars mean asc node	1.4221e-11	2.9117e-11	5.4536e-14	4.6495e-14	
geo apparent, J2000, ecliptic	2378496.5	Mars osc asc node	4.0846e-10	1.8359e-11	1.2326e-11	1.0508e-11	
geo apparent, J2000, ecliptic	2378496.5	Mars mean desc node	2.5747e-10	1.8755e-12	3.6524e-12	1.5999e-12	
geo apparent, J2000, ecliptic	2378496.5	Mars osc desc node	2.1328e-10	2.1521e-11	2.0625e-12	9.0350e-13	
geo apparent, J2000, ecliptic	2378496.5	Mars mean perihelion	1.9858e-11	1.7660e-11	3.2778e-14	1.5367e-14	
geo apparent, J2000, ecliptic	2378496.5	Mars osc perihelion	1.5607e-10	3.9261e-11	1.8395e-12	8.6231e-13	
geo apparent, J2000, ecliptic	2378496.5	Mars mean aphelion	1.5210e-11	1.1869e-11	5.5118e-13	4.1986e-13	
geo apparent, J2000, ecliptic	2378496.5	Mars osc aphelion	5.6214e-10	4.7579e-11	7.9890e-12	6.0888e-12	
geo apparent, J2000, ecliptic	2378496.5	Jupiter mean asc node	5.3462e-10	3.1330e-11	1.0127e-12	2.4135e-13	
geo apparent, J2000, ecliptic	2378496.5	Jupiter osc asc node	3.0578e-10	7.4896e-13	7.6754e-12	1.8293e-12	
geo apparent, J2000, ecliptic	2378496.5	Jupiter mean desc node	7.5346e-10	8.1953e-12	3.4535e-13	5.5833e-14	
