# ratesweep 127.0.0.1:47190 bound 1e-05 1e-09 (A.3 default)
config	epoch_tt	object	lon_err	lat_err	dist_err_au_per_day	dist_err_per_au	flag
geo apparent, true of date, ecliptic	2378496.5	Jupiter mean asc node	5.4851e-10	1.5089e-11	3.3516e-12	7.9879e-13	
geo apparent, true of date, ecliptic	2378496.5	Jupiter osc asc node	3.1986e-10	1.3696e-11	5.5868e-12	1.3315e-12	
geo apparent, true of date, ecliptic	2378496.5	Jupiter mean desc node	7.2497e-10	2.6455e-11	4.9801e-14	8.0514e-15	
geo apparent, true of date, ecliptic	2378496.5	Jupiter osc desc node	1.5000e-10	1.6690e-11	8.5651e-12	1.3846e-12	
geo apparent, true of date, ecliptic	2378496.5	Jupiter mean perihelion	8.1652e-12	1.2763e-11	3.4388e-12	6.8294e-13	
geo apparent, true of date, ecliptic	2378496.5	Jupiter osc perihelion	4.8940e-10	8.8963e-12	5.7855e-12	1.1488e-12	
geo apparent, true of date, ecliptic	2378496.5	Jupiter mean aphelion	1.7942e-12	3.1739e-12	4.3049e-12	7.7501e-13	
geo apparent, true of date, ecliptic	2378496.5	Jupiter osc aphelion	5.2555e-10	2.6062e-12	1.1209e-11	2.0181e-12	
geo apparent, true of date, ecliptic	2378496.5	Saturn mean asc node	2.9432e-10	3.7297e-11	6.9004e-12	8.5235e-13	
geo apparent, true of date, ecliptic	2378496.5	Saturn osc asc node	3.0047e-10	6.5050e-12	5.2404e-12	6.4812e-13	
geo apparent, true of date, ecliptic	2378496.5	Saturn mean desc node	1.0402e-10	2.5127e-11	7.7601e-12	7.0490e-13	
geo apparent, true of date, ecliptic	2378496.5	Saturn osc desc node	1.1527e-10	9.1433e-12	2.0527e-11	1.8528e-12	
geo apparent, true of date, ecliptic	2378496.5	Saturn mean perihelion	5.9848e-12	3.1431e-11	1.6344e-12	2.0284e-13	
geo apparent, true of date, ecliptic	2378496.5	Saturn osc perihelion	1.6316e-09	8.0157e-11	2.8942e-12	3.5977e-13	
geo apparent, true of date, ecliptic	2378496.5	Saturn mean aphelion	3.1590e-11	2.4894e-12	8.6751e-12	7.8470e-13	
