# ratesweep 127.0.0.1:47392 bound 0.005 0.0001 (advertised)
config	epoch_tt	object	lon_err	lat_err	dist_err	flag
geo apparent, true of date, ecliptic	2378496.5	Rigil Kentaurus				unanswered errCode 4
geo apparent, true of date, ecliptic	2415020.5	Sun	7.6576e-08	2.9578e-06	1.6256e-13	
geo apparent, true of date, ecliptic	2415020.5	Moon	1.0830e-04	3.0482e-06	3.6890e-09	
geo apparent, true of date, ecliptic	2415020.5	Mercury	7.2495e-07	3.1597e-06	1.6932e-06	
geo apparent, true of date, ecliptic	2415020.5	Venus	1.2438e-06	2.4694e-06	1.5778e-06	
geo apparent, true of date, ecliptic	2415020.5	Earth	0.0000e+00	0.0000e+00	0.0000e+00	
geo apparent, true of date, ecliptic	2415020.5	Mars	4.7013e-07	2.9224e-06	1.7730e-06	
geo apparent, true of date, ecliptic	2415020.5	Jupiter	1.9837e-10	2.6050e-06	1.3826e-06	
geo apparent, true of date, ecliptic	2415020.5	Saturn	4.9809e-08	2.9876e-06	1.7365e-06	
geo apparent, true of date, ecliptic	2415020.5	Uranus	9.2946e-08	2.7987e-06	1.5412e-06	
geo apparent, true of date, ecliptic	2415020.5	Neptune	1.6895e-07	2.9709e-06	1.7186e-06	
geo apparent, true of date, ecliptic	2415020.5	Pluto	3.8014e-07	2.8545e-06	1.5917e-06	
geo apparent, true of date, ecliptic	2415020.5	Moon mean asc node	0.0000e+00	0.0000e+00	0.0000e+00	
geo apparent, true of date, ecliptic	2415020.5	Moon osc asc node	2.9217e-08	0.0000e+00	2.3585e-12	
geo apparent, true of date, ecliptic	2415020.5	Moon mean desc node	2.0615e-11	0.0000e+00	0.0000e+00	
geo apparent, true of date, ecliptic	2415020.5	Moon osc desc node	2.9217e-08	0.0000e+00	1.2343e-11	
geo apparent, true of date, ecliptic	2415020.5	Moon mean perihelion	0.0000e+00	0.0000e+00	0.0000e+00	
geo apparent, true of date, ecliptic	2415020.5	Moon osc perihelion	3.9157e-06	2.1448e-07	8.1706e-12	
geo apparent, true of date, ecliptic	2415020.5	Moon mean aphelion	2.7422e-07	1.4243e-06	7.4015e-16	
geo apparent, true of date, ecliptic	2415020.5	Moon osc aphelion	4.4975e-06	2.3615e-07	6.4543e-13	
geo apparent, true of date, ecliptic	2415020.5	Mercury mean asc node	0.0000e+00	0.0000e+00	0.0000e+00	
geo apparent, true of date, ecliptic	2415020.5	Mercury osc asc node	4.5044e-09	3.4882e-06	1.4118e-06	
geo apparent, true of date, ecliptic	2415020.5	Mercury mean desc node	0.0000e+00	0.0000e+00	0.0000e+00	
geo apparent, true of date, ecliptic	2415020.5	Mercury osc desc node	1.1355e-08	2.2138e-06	1.7095e-06	
geo apparent, true of date, ecliptic	2415020.5	Mercury mean perihelion	0.0000e+00	0.0000e+00	0.0000e+00	
geo apparent, true of date, ecliptic	2415020.5	Mercury osc perihelion	1.1068e-08	4.0408e-06	1.2502e-06	
geo apparent, true of date, ecliptic	2415020.5	Mercury mean aphelion	0.0000e+00	0.0000e+00	0.0000e+00	
geo apparent, true of date, ecliptic	2415020.5	Mercury osc aphelion	5.9615e-09	2.0304e-06	1.7621e-06	
geo apparent, true of date, ecliptic	2415020.5	Venus mean asc node	0.0000e+00	0.0000e+00	0.0000e+00	
geo apparent, true of date, ecliptic	2415020.5	Venus osc asc node	1.3453e-10	6.5518e-06	5.8123e-07	
geo apparent, true of date, ecliptic	2415020.5	Venus mean desc node	0.0000e+00	0.0000e+00	0.0000e+00	
geo apparent, true of date, ecliptic	2415020.5	Venus osc desc node	2.1967e-08	1.7228e-06	1.7496e-06	
geo apparent, true of date, ecliptic	2415020.5	Venus mean perihelion	0.0000e+00	0.0000e+00	0.0000e+00	
geo apparent, true of date, ecliptic	2415020.5	Venus osc perihelion	2.9045e-07	5.6842e-06	6.2850e-07	
geo apparent, true of date, ecliptic	2415020.5	Venus mean aphelion	0.0000e+00	0.0000e+00	0.0000e+00	
geo apparent, true of date, ecliptic	2415020.5	Venus osc aphelion	2.9367e-07	1.7344e-06	1.7372e-06	
geo apparent, true of date, ecliptic	2415020.5	Mars mean asc node	5.8359e-12	0.0000e+00	0.0000e+00	
geo apparent, true of date, ecliptic	2415020.5	Mars osc asc node	6.3463e-10	2.5055e-06	9.6211e-08	
geo apparent, true of date, ecliptic	2415020.5	Mars mean desc node	0.0000e+00	0.0000e+00	0.0000e+00	
geo apparent, true of date, ecliptic	2415020.5	Mars osc desc node	3.1435e-08	1.2622e-06	1.5117e-06	
geo apparent, true of date, ecliptic	2415020.5	Mars mean perihelion	0.0000e+00	0.0000e+00	0.0000e+00	
geo apparent, true of date, ecliptic	2415020.5	Mars osc perihelion	9.1168e-09	1.3692e-06	1.5081e-06	
geo apparent, true of date, ecliptic	2415020.5	Mars mean aphelion	0.0000e+00	0.0000e+00	0.0000e+00	
geo apparent, true of date, ecliptic	2415020.5	Mars osc aphelion	3.8438e-09	2.1557e-06	8.9215e-09	
geo apparent, true of date, ecliptic	2415020.5	Jupiter mean asc node	0.0000e+00	0.0000e+00	0.0000e+00	
geo apparent, true of date, ecliptic	2415020.5	Jupiter osc asc node	2.7319e-08	6.9380e-07	1.7778e-06	
