# ratesweep 127.0.0.1:47392 bound 0.005 0.0001 (advertised)
config	epoch_tt	object	lon_err	lat_err	dist_err	flag
geo astrometric, ICRF, equatorial	2415020.5	Venus mean asc node	0.0000e+00	0.0000e+00	0.0000e+00	
geo astrometric, ICRF, equatorial	2415020.5	Venus osc asc node	2.0285e-07	5.5280e-07	9.2140e-12	
geo astrometric, ICRF, equatorial	2415020.5	Venus mean desc node	0.0000e+00	0.0000e+00	0.0000e+00	
geo astrometric, ICRF, equatorial	2415020.5	Venus osc desc node	1.2941e-09	1.5349e-07	1.6032e-11	
geo astrometric, ICRF, equatorial	2415020.5	Venus mean perihelion	0.0000e+00	0.0000e+00	0.0000e+00	
geo astrometric, ICRF, equatorial	2415020.5	Venus osc perihelion	2.1794e-07	3.1164e-07	3.5061e-09	
geo astrometric, ICRF, equatorial	2415020.5	Venus mean aphelion	0.0000e+00	0.0000e+00	0.0000e+00	
geo astrometric, ICRF, equatorial	2415020.5	Venus osc aphelion	1.2202e-07	1.1847e-07	6.6319e-10	
geo astrometric, ICRF, equatorial	2415020.5	Mars mean asc node	1.2581e-11	0.0000e+00	0.0000e+00	
geo astrometric, ICRF, equatorial	2415020.5	Mars osc asc node	1.5348e-07	3.5742e-07	4.8879e-12	
geo astrometric, ICRF, equatorial	2415020.5	Mars mean desc node	0.0000e+00	0.0000e+00	0.0000e+00	
geo astrometric, ICRF, equatorial	2415020.5	Mars osc desc node	3.2330e-08	2.0090e-07	1.3813e-13	
geo astrometric, ICRF, equatorial	2415020.5	Mars mean perihelion	0.0000e+00	0.0000e+00	0.0000e+00	
geo astrometric, ICRF, equatorial	2415020.5	Mars osc perihelion	2.6139e-08	6.2575e-08	5.7678e-11	
geo astrometric, ICRF, equatorial	2415020.5	Mars mean aphelion	0.0000e+00	0.0000e+00	0.0000e+00	
geo astrometric, ICRF, equatorial	2415020.5	Mars osc aphelion	6.3032e-08	1.1473e-07	1.6610e-10	
geo astrometric, ICRF, equatorial	2415020.5	Jupiter mean asc node	9.7013e-12	0.0000e+00	0.0000e+00	
geo astrometric, ICRF, equatorial	2415020.5	Jupiter osc asc node	3.6200e-08	4.1928e-07	6.9870e-12	
geo astrometric, ICRF, equatorial	2415020.5	Jupiter mean desc node	0.0000e+00	0.0000e+00	0.0000e+00	
geo astrometric, ICRF, equatorial	2415020.5	Jupiter osc desc node	2.5258e-08	2.8486e-07	5.9967e-13	
geo astrometric, ICRF, equatorial	2415020.5	Jupiter mean perihelion	6.4422e-13	0.0000e+00	0.0000e+00	
geo astrometric, ICRF, equatorial	2415020.5	Jupiter osc perihelion	4.1343e-08	1.2204e-07	4.0223e-11	
geo astrometric, ICRF, equatorial	2415020.5	Jupiter mean aphelion	0.0000e+00	0.0000e+00	0.0000e+00	
geo astrometric, ICRF, equatorial	2415020.5	Jupiter osc aphelion	3.7907e-08	1.2087e-07	2.9862e-11	
geo astrometric, ICRF, equatorial	2415020.5	Saturn mean asc node	9.7013e-12	0.0000e+00	0.0000e+00	
geo astrometric, ICRF, equatorial	2415020.5	Saturn osc asc node	6.7338e-08	3.3528e-07	2.4860e-11	
geo astrometric, ICRF, equatorial	2415020.5	Saturn mean desc node	0.0000e+00	0.0000e+00	0.0000e+00	
geo astrometric, ICRF, equatorial	2415020.5	Saturn osc desc node	4.9840e-08	2.7428e-07	5.8220e-12	
geo astrometric, ICRF, equatorial	2415020.5	Saturn mean perihelion	1.2127e-12	0.0000e+00	0.0000e+00	
geo astrometric, ICRF, equatorial	2415020.5	Saturn osc perihelion	3.4274e-08	3.9359e-07	3.6257e-11	
geo astrometric, ICRF, equatorial	2415020.5	Saturn mean aphelion	0.0000e+00	0.0000e+00	0.0000e+00	
geo astrometric, ICRF, equatorial	2415020.5	Saturn osc aphelion	3.1692e-08	3.1961e-07	1.1315e-11	
geo astrometric, ICRF, equatorial	2415020.5	Moon natural apogee	2.7506e-07	2.0146e-07	1.4478e-13	
geo astrometric, ICRF, equatorial	2415020.5	Moon natural perigee	7.4607e-06	2.8148e-06	3.6488e-12	
geo astrometric, ICRF, equatorial	2415020.5	Sirius	6.6249e-12	6.5529e-14	1.6080e-13	
geo astrometric, ICRF, equatorial	2415020.5	Vega	1.0259e-11	7.2249e-13	1.7546e-13	
geo astrometric, ICRF, equatorial	2415020.5	Polaris	2.9422e-12	4.4682e-13	8.5930e-14	
geo astrometric, ICRF, equatorial	2415020.5	Rigil Kentaurus	5.0986e-10	3.7029e-11	3.2401e-14	
geo astrometric, ICRF, equatorial	2451545.0	Sun	2.5353e-11	2.1516e-13	4.1124e-13	
geo astrometric, ICRF, equatorial	2451545.0	Moon	7.7062e-06	1.1525e-06	5.8176e-10	
geo astrometric, ICRF, equatorial	2451545.0	Mercury	2.9433e-06	2.6116e-07	1.6127e-08	
geo astrometric, ICRF, equatorial	2451545.0	Venus	7.4740e-07	2.1389e-07	2.1894e-08	
geo astrometric, ICRF, equatorial	2451545.0	Earth	0.0000e+00	0.0000e+00	0.0000e+00	
geo astrometric, ICRF, equatorial	2451545.0	Mars	3.4049e-07	1.2701e-07	3.4725e-09	
geo astrometric, ICRF, equatorial	2451545.0	Jupiter	1.7234e-10	6.3669e-11	5.7419e-12	
geo astrometric, ICRF, equatorial	2451545.0	Saturn	5.8674e-09	1.9515e-09	1.2162e-11	
geo astrometric, ICRF, equatorial	2451545.0	Uranus	7.5317e-10	2.1238e-10	3.2790e-13	
geo astrometric, ICRF, equatorial	2451545.0	Neptune	1.2259e-09	2.4692e-10	2.5788e-13	
geo astrometric, ICRF, equatorial	2451545.0	Pluto	1.9293e-09	7.1590e-10	3.5599e-12	
geo astrometric, ICRF, equatorial	2451545.0	Moon mean asc node	9.7013e-12	0.0000e+00	0.0000e+00	
geo astrometric, ICRF, equatorial	2451545.0	Moon osc asc node	1.6638e-07	2.4742e-07	1.9863e-11	
geo astrometric, ICRF, equatorial	2451545.0	Moon mean desc node	0.0000e+00	0.0000e+00	0.0000e+00	
geo astrometric, ICRF, equatorial	2451545.0	Moon osc desc node	1.6637e-07	2.4742e-07	1.5605e-11	
geo astrometric, ICRF, equatorial	2451545.0	Moon mean perihelion	9.7013e-12	0.0000e+00	0.0000e+00	
geo astrometric, ICRF, equatorial	2451545.0	Moon osc perihelion	3.0112e-06	1.7006e-07	2.9855e-11	
geo astrometric, ICRF, equatorial	2451545.0	Moon mean aphelion	4.2221e-09	3.4569e-07	6.2913e-16	
geo astrometric, ICRF, equatorial	2451545.0	Moon osc aphelion	3.0863e-06	1.8403e-07	2.1695e-12	
geo astrometric, ICRF, equatorial	2451545.0	Mercury mean asc node	0.0000e+00	0.0000e+00	0.0000e+00	
geo astrometric, ICRF, equatorial	2451545.0	Mercury osc asc node	2.2641e-08	1.0690e-07	2.2985e-12	
geo astrometric, ICRF, equatorial	2451545.0	Mercury mean desc node	0.0000e+00	0.0000e+00	0.0000e+00	
geo astrometric, ICRF, equatorial	2451545.0	Mercury osc desc node	4.0678e-09	9.8943e-08	6.6424e-12	
geo astrometric, ICRF, equatorial	2451545.0	Mercury mean perihelion	0.0000e+00	0.0000e+00	0.0000e+00	
geo astrometric, ICRF, equatorial	2451545.0	Mercury osc perihelion	3.2687e-08	1.5036e-07	1.1663e-10	
geo astrometric, ICRF, equatorial	2451545.0	Mercury mean aphelion	0.0000e+00	0.0000e+00	0.0000e+00	
geo astrometric, ICRF, equatorial	2451545.0	Mercury osc aphelion	8.1799e-09	1.1629e-07	6.1652e-11	
geo astrometric, ICRF, equatorial	2451545.0	Venus mean asc node	0.0000e+00	0.0000e+00	0.0000e+00	
geo astrometric, ICRF, equatorial	2451545.0	Venus osc asc node	1.9594e-07	5.5534e-07	3.3664e-12	
geo astrometric, ICRF, equatorial	2451545.0	Venus mean desc node	0.0000e+00	0.0000e+00	0.0000e+00	
geo astrometric, ICRF, equatorial	2451545.0	Venus osc desc node	2.9224e-10	1.5346e-07	1.3252e-12	
geo astrometric, ICRF, equatorial	2451545.0	Venus mean perihelion	0.0000e+00	0.0000e+00	0.0000e+00	
geo astrometric, ICRF, equatorial	2451545.0	Venus osc perihelion	6.9652e-08	3.1942e-07	1.3041e-09	
geo astrometric, ICRF, equatorial	2451545.0	Venus mean aphelion	0.0000e+00	0.0000e+00	0.0000e+00	
geo astrometric, ICRF, equatorial	2451545.0	Venus osc aphelion	5.7944e-08	1.0141e-07	2.4794e-10	
geo astrometric, ICRF, equatorial	2451545.0	Mars mean asc node	6.2907e-12	0.0000e+00	0.0000e+00	
geo astrometric, ICRF, equatorial	2451545.0	Mars osc asc node	1.4887e-07	3.4522e-07	4.1796e-12	
geo astrometric, ICRF, equatorial	2451545.0	Mars mean desc node	0.0000e+00	0.0000e+00	0.0000e+00	
geo astrometric, ICRF, equatorial	2451545.0	Mars osc desc node	3.2808e-08	1.9414e-07	1.1165e-12	
geo astrometric, ICRF, equatorial	2451545.0	Mars mean perihelion	0.0000e+00	0.0000e+00	0.0000e+00	
geo astrometric, ICRF, equatorial	2451545.0	Mars osc perihelion	2.8109e-08	7.1049e-08	5.5181e-11	
geo astrometric, ICRF, equatorial	2451545.0	Mars mean aphelion	0.0000e+00	0.0000e+00	0.0000e+00	
geo astrometric, ICRF, equatorial	2451545.0	Mars osc aphelion	6.5594e-08	1.2292e-07	1.5573e-10	
geo astrometric, ICRF, equatorial	2451545.0	Jupiter mean asc node	1.8190e-11	0.0000e+00	0.0000e+00	
geo astrometric, ICRF, equatorial	2451545.0	Jupiter osc asc node	3.6106e-08	4.2380e-07	2.3435e-12	
geo astrometric, ICRF, equatorial	2451545.0	Jupiter mean desc node	0.0000e+00	0.0000e+00	0.0000e+00	
geo astrometric, ICRF, equatorial	2451545.0	Jupiter osc desc node	2.4438e-08	2.8872e-07	1.9543e-12	
geo astrometric, ICRF, equatorial	2451545.0	Jupiter mean perihelion	1.9403e-11	0.0000e+00	0.0000e+00	
geo astrometric, ICRF, equatorial	2451545.0	Jupiter osc perihelion	4.3838e-08	1.1832e-07	2.3924e-11	
geo astrometric, ICRF, equatorial	2451545.0	Jupiter mean aphelion	0.0000e+00	0.0000e+00	0.0000e+00	
geo astrometric, ICRF, equatorial	2451545.0	Jupiter osc aphelion	3.9750e-08	1.1602e-07	1.6512e-11	
geo astrometric, ICRF, equatorial	2451545.0	Saturn mean asc node	1.9403e-11	0.0000e+00	0.0000e+00	
geo astrometric, ICRF, equatorial	2451545.0	Saturn osc asc node	6.7882e-08	3.4428e-07	2.8598e-12	
geo astrometric, ICRF, equatorial	2451545.0	Saturn mean desc node	0.0000e+00	0.0000e+00	0.0000e+00	
geo astrometric, ICRF, equatorial	2451545.0	Saturn osc desc node	4.9976e-08	2.8223e-07	6.0099e-12	
geo astrometric, ICRF, equatorial	2451545.0	Saturn mean perihelion	1.2126e-12	0.0000e+00	0.0000e+00	
geo astrometric, ICRF, equatorial	2451545.0	Saturn osc perihelion	3.2737e-09	3.9872e-07	1.6294e-11	
geo astrometric, ICRF, equatorial	2451545.0	Saturn mean aphelion	0.0000e+00	0.0000e+00	0.0000e+00	
geo astrometric, ICRF, equatorial	2451545.0	Saturn osc aphelion	2.9908e-09	3.2516e-07	1.0875e-12	
geo astrometric, ICRF, equatorial	2451545.0	Moon natural apogee	1.0943e-06	2.3400e-07	1.1108e-12	
geo astrometric, ICRF, equatorial	2451545.0	Moon natural perigee	7.3769e-06	9.6328e-08	2.8176e-12	
geo astrometric, ICRF, equatorial	2451545.0	Sirius	9.4842e-12	6.6685e-12	1.6441e-14	
geo astrometric, ICRF, equatorial	2451545.0	Vega	8.0750e-12	3.4091e-12	8.4675e-14	
geo astrometric, ICRF, equatorial	2451545.0	Polaris	8.6326e-12	8.1533e-12	6.9183e-15	
geo astrometric, ICRF, equatorial	2451545.0	Rigil Kentaurus	2.3341e-11	5.5169e-12	8.0576e-14	
geo astrometric, ICRF, equatorial	2461300.5	Sun	2.7410e-10	1.0653e-10	9.8376e-12	
geo astrometric, ICRF, equatorial	2461300.5	Moon	3.8608e-05	1.7271e-06	4.4112e-09	
geo astrometric, ICRF, equatorial	2461300.5	Mercury	2.3493e-06	1.4242e-06	2.9280e-08	
geo astrometric, ICRF, equatorial	2461300.5	Venus	3.7552e-07	5.4599e-08	4.9452e-09	
geo astrometric, ICRF, equatorial	2461300.5	Earth	0.0000e+00	0.0000e+00	0.0000e+00	
geo astrometric, ICRF, equatorial	2461300.5	Mars	2.4384e-07	3.2135e-08	3.3095e-09	
geo astrometric, ICRF, equatorial	2461300.5	Jupiter	1.9342e-09	5.4267e-10	2.0837e-12	
geo astrometric, ICRF, equatorial	2461300.5	Saturn	2.8627e-10	1.1629e-10	4.0680e-13	
geo astrometric, ICRF, equatorial	2461300.5	Uranus	3.4801e-09	6.2883e-10	5.2225e-14	
geo astrometric, ICRF, equatorial	2461300.5	Neptune	5.2230e-10	2.1493e-10	8.7386e-14	
geo astrometric, ICRF, equatorial	2461300.5	Pluto	2.9134e-10	1.0928e-11	1.0029e-12	
geo astrometric, ICRF, equatorial	2461300.5	Moon mean asc node	0.0000e+00	0.0000e+00	0.0000e+00	
geo astrometric, ICRF, equatorial	2461300.5	Moon osc asc node	1.0195e-07	1.2969e-07	1.2507e-11	
geo astrometric, ICRF, equatorial	2461300.5	Moon mean desc node	0.0000e+00	0.0000e+00	0.0000e+00	
geo astrometric, ICRF, equatorial	2461300.5	Moon osc desc node	1.0195e-07	1.2969e-07	8.6362e-12	
geo astrometric, ICRF, equatorial	2461300.5	Moon mean perihelion	9.7013e-12	0.0000e+00	0.0000e+00	
geo astrometric, ICRF, equatorial	2461300.5	Moon osc perihelion	3.5327e-06	1.6480e-07	1.8101e-11	
geo astrometric, ICRF, equatorial	2461300.5	Moon mean aphelion	8.8869e-09	3.7249e-07	1.0732e-15	
geo astrometric, ICRF, equatorial	2461300.5	Moon osc aphelion	2.8712e-06	2.0039e-07	2.8352e-12	
geo astrometric, ICRF, equatorial	2461300.5	Mercury mean asc node	0.0000e+00	0.0000e+00	0.0000e+00	
geo astrometric, ICRF, equatorial	2461300.5	Mercury osc asc node	3.9800e-08	9.8998e-08	9.3328e-16	
geo astrometric, ICRF, equatorial	2461300.5	Mercury mean desc node	0.0000e+00	0.0000e+00	0.0000e+00	
geo astrometric, ICRF, equatorial	2461300.5	Mercury osc desc node	3.7607e-08	8.7946e-08	7.1919e-15	
geo astrometric, ICRF, equatorial	2461300.5	Mercury mean perihelion	0.0000e+00	0.0000e+00	0.0000e+00	
geo astrometric, ICRF, equatorial	2461300.5	Mercury osc perihelion	4.6784e-08	9.9005e-08	3.5617e-12	
geo astrometric, ICRF, equatorial	2461300.5	Mercury mean aphelion	0.0000e+00	0.0000e+00	0.0000e+00	
geo astrometric, ICRF, equatorial	2461300.5	Mercury osc aphelion	6.1673e-08	1.2705e-07	3.6912e-12	
geo astrometric, ICRF, equatorial	2461300.5	Venus mean asc node	0.0000e+00	0.0000e+00	0.0000e+00	
geo astrometric, ICRF, equatorial	2461300.5	Venus osc asc node	7.1190e-08	2.1026e-07	3.0020e-11	
geo astrometric, ICRF, equatorial	2461300.5	Venus mean desc node	0.0000e+00	0.0000e+00	0.0000e+00	
geo astrometric, ICRF, equatorial	2461300.5	Venus osc desc node	6.8606e-08	1.8145e-07	3.5980e-11	
geo astrometric, ICRF, equatorial	2461300.5	Venus mean perihelion	0.0000e+00	0.0000e+00	0.0000e+00	
geo astrometric, ICRF, equatorial	2461300.5	Venus osc perihelion	2.9933e-07	2.2721e-07	2.9508e-09	
geo astrometric, ICRF, equatorial	2461300.5	Venus mean aphelion	0.0000e+00	0.0000e+00	0.0000e+00	
geo astrometric, ICRF, equatorial	2461300.5	Venus osc aphelion	4.7589e-08	1.7477e-07	1.1424e-08	
geo astrometric, ICRF, equatorial	2461300.5	Mars mean asc node	1.0914e-11	0.0000e+00	0.0000e+00	
geo astrometric, ICRF, equatorial	2461300.5	Mars osc asc node	5.6443e-09	3.4809e-07	2.0420e-12	
geo astrometric, ICRF, equatorial	2461300.5	Mars mean desc node	0.0000e+00	0.0000e+00	0.0000e+00	
geo astrometric, ICRF, equatorial	2461300.5	Mars osc desc node	7.1199e-08	1.8293e-07	5.0142e-14	
geo astrometric, ICRF, equatorial	2461300.5	Mars mean perihelion	0.0000e+00	0.0000e+00	0.0000e+00	
geo astrometric, ICRF, equatorial	2461300.5	Mars osc perihelion	9.3538e-08	2.9803e-07	1.2872e-11	
geo astrometric, ICRF, equatorial	2461300.5	Mars mean aphelion	0.0000e+00	0.0000e+00	0.0000e+00	
geo astrometric, ICRF, equatorial	2461300.5	Mars osc aphelion	3.5635e-08	6.7218e-08	6.4541e-13	
geo astrometric, ICRF, equatorial	2461300.5	Jupiter mean asc node	9.7013e-12	0.0000e+00	0.0000e+00	
geo astrometric, ICRF, equatorial	2461300.5	Jupiter osc asc node	5.2640e-08	3.1891e-07	5.7263e-12	
geo astrometric, ICRF, equatorial	2461300.5	Jupiter mean desc node	0.0000e+00	0.0000e+00	0.0000e+00	
geo astrometric, ICRF, equatorial	2461300.5	Jupiter osc desc node	1.1035e-09	3.5822e-07	1.3784e-12	
geo astrometric, ICRF, equatorial	2461300.5	Jupiter mean perihelion	3.0315e-13	0.0000e+00	0.0000e+00	
geo astrometric, ICRF, equatorial	2461300.5	Jupiter osc perihelion	4.5314e-08	1.3353e-07	6.4011e-12	
geo astrometric, ICRF, equatorial	2461300.5	Jupiter mean aphelion	0.0000e+00	0.0000e+00	0.0000e+00	
geo astrometric, ICRF, equatorial	2461300.5	Jupiter osc aphelion	3.1969e-08	9.1343e-08	6.9121e-13	
geo astrometric, ICRF, equatorial	2461300.5	Saturn mean asc node	8.4886e-12	0.0000e+00	0.0000e+00	
geo astrometric, ICRF, equatorial	2461300.5	Saturn osc asc node	6.4902e-08	2.9151e-07	1.1521e-12	
geo astrometric, ICRF, equatorial	2461300.5	Saturn mean desc node	0.0000e+00	0.0000e+00	0.0000e+00	
geo astrometric, ICRF, equatorial	2461300.5	Saturn osc desc node	4.8182e-08	3.2718e-07	1.8768e-12	
geo astrometric, ICRF, equatorial	2461300.5	Saturn mean perihelion	9.7013e-12	0.0000e+00	0.0000e+00	
geo astrometric, ICRF, equatorial	2461300.5	Saturn osc perihelion	2.1762e-08	3.4622e-07	4.1341e-12	
geo astrometric, ICRF, equatorial	2461300.5	Saturn mean aphelion	0.0000e+00	0.0000e+00	0.0000e+00	
geo astrometric, ICRF, equatorial	2461300.5	Saturn osc aphelion	1.0806e-08	3.5789e-07	4.7522e-12	
geo astrometric, ICRF, equatorial	2461300.5	Moon natural apogee	3.0009e-06	2.7411e-07	3.2719e-13	
geo astrometric, ICRF, equatorial	2461300.5	Moon natural perigee	1.7001e-05	1.3642e-06	2.0648e-11	
geo astrometric, ICRF, equatorial	2461300.5	Sirius	3.4246e-11	8.5369e-13	6.2916e-14	
geo astrometric, ICRF, equatorial	2461300.5	Vega	1.7994e-11	1.4617e-13	8.6587e-14	
geo astrometric, ICRF, equatorial	2461300.5	Polaris	1.6204e-11	5.5289e-12	4.7780e-14	
geo astrometric, ICRF, equatorial	2461300.5	Rigil Kentaurus	6.6262e-11	2.8423e-11	8.6297e-14	
geo astrometric, ICRF, equatorial	2488069.5	Sun	2.3268e-11	2.9600e-12	1.7878e-13	
geo astrometric, ICRF, equatorial	2488069.5	Moon	8.0451e-09	1.8444e-09	2.5188e-13	
geo astrometric, ICRF, equatorial	2488069.5	Mercury	3.2502e-06	2.8632e-07	2.7101e-08	
geo astrometric, ICRF, equatorial	2488069.5	Venus	7.3534e-07	2.3731e-07	2.2616e-08	
geo astrometric, ICRF, equatorial	2488069.5	Earth	0.0000e+00	0.0000e+00	0.0000e+00	
geo astrometric, ICRF, equatorial	2488069.5	Mars	1.1429e-07	4.9145e-08	1.1489e-09	
geo astrometric, ICRF, equatorial	2488069.5	Jupiter	4.5092e-09	1.8320e-09	2.0915e-11	
geo astrometric, ICRF, equatorial	2488069.5	Saturn	7.9467e-09	3.0969e-09	2.0825e-11	
geo astrometric, ICRF, equatorial	2488069.5	Uranus	6.4593e-10	2.7252e-10	3.8728e-13	
geo astrometric, ICRF, equatorial	2488069.5	Neptune	7.3109e-11	2.4772e-11	2.8431e-13	
geo astrometric, ICRF, equatorial	2488069.5	Pluto	3.9175e-11	1.5100e-11	3.4613e-14	
geo astrometric, ICRF, equatorial	2488069.5	Moon mean asc node	0.0000e+00	0.0000e+00	0.0000e+00	
geo astrometric, ICRF, equatorial	2488069.5	Moon osc asc node	5.5338e-08	2.6219e-08	3.1362e-11	
geo astrometric, ICRF, equatorial	2488069.5	Moon mean desc node	0.0000e+00	0.0000e+00	0.0000e+00	
geo astrometric, ICRF, equatorial	2488069.5	Moon osc desc node	5.5362e-08	2.6219e-08	3.2325e-13	
geo astrometric, ICRF, equatorial	2488069.5	Moon mean perihelion	0.0000e+00	0.0000e+00	0.0000e+00	
geo astrometric, ICRF, equatorial	2488069.5	Moon osc perihelion	4.7910e-06	2.5536e-06	1.6215e-12	
geo astrometric, ICRF, equatorial	2488069.5	Moon mean aphelion	6.1571e-08	8.2098e-08	5.9212e-16	
geo astrometric, ICRF, equatorial	2488069.5	Moon osc aphelion	4.7749e-06	2.5359e-06	2.9972e-11	
geo astrometric, ICRF, equatorial	2488069.5	Mercury mean asc node	0.0000e+00	0.0000e+00	0.0000e+00	
geo astrometric, ICRF, equatorial	2488069.5	Mercury osc asc node	2.0955e-08	1.0148e-07	1.1101e-13	
geo astrometric, ICRF, equatorial	2488069.5	Mercury mean desc node	0.0000e+00	0.0000e+00	0.0000e+00	
geo astrometric, ICRF, equatorial	2488069.5	Mercury osc desc node	4.9256e-09	9.6792e-08	3.2570e-13	
geo astrometric, ICRF, equatorial	2488069.5	Mercury mean perihelion	0.0000e+00	0.0000e+00	0.0000e+00	
geo astrometric, ICRF, equatorial	2488069.5	Mercury osc perihelion	2.5324e-08	1.4756e-07	1.5428e-10	
geo astrometric, ICRF, equatorial	2488069.5	Mercury mean aphelion	0.0000e+00	0.0000e+00	0.0000e+00	
geo astrometric, ICRF, equatorial	2488069.5	Mercury osc aphelion	3.0684e-09	1.1656e-07	8.1109e-11	
geo astrometric, ICRF, equatorial	2488069.5	Venus mean asc node	0.0000e+00	0.0000e+00	0.0000e+00	
geo astrometric, ICRF, equatorial	2488069.5	Venus osc asc node	1.9134e-07	5.5739e-07	5.5387e-12	
geo astrometric, ICRF, equatorial	2488069.5	Venus mean desc node	0.0000e+00	0.0000e+00	0.0000e+00	
geo astrometric, ICRF, equatorial	2488069.5	Venus osc desc node	5.7155e-10	1.5323e-07	5.9757e-12	
geo astrometric, ICRF, equatorial	2488069.5	Venus mean perihelion	0.0000e+00	0.0000e+00	0.0000e+00	
geo astrometric, ICRF, equatorial	2488069.5	Venus osc perihelion	6.5305e-08	3.2490e-07	1.7040e-09	
geo astrometric, ICRF, equatorial	2488069.5	Venus mean aphelion	0.0000e+00	0.0000e+00	0.0000e+00	
geo astrometric, ICRF, equatorial	2488069.5	Venus osc aphelion	7.2785e-08	1.0664e-07	3.4693e-10	
geo astrometric, ICRF, equatorial	2488069.5	Mars mean asc node	2.1979e-12	0.0000e+00	0.0000e+00	
geo astrometric, ICRF, equatorial	2488069.5	Mars osc asc node	1.4367e-07	3.3291e-07	3.8047e-12	
geo astrometric, ICRF, equatorial	2488069.5	Mars mean desc node	0.0000e+00	0.0000e+00	0.0000e+00	
geo astrometric, ICRF, equatorial	2488069.5	Mars osc desc node	3.2766e-08	1.8722e-07	2.4926e-13	
geo astrometric, ICRF, equatorial	2488069.5	Mars mean perihelion	0.0000e+00	0.0000e+00	0.0000e+00	
geo astrometric, ICRF, equatorial	2488069.5	Mars osc perihelion	3.0974e-08	7.9401e-08	5.9965e-11	
geo astrometric, ICRF, equatorial	2488069.5	Mars mean aphelion	0.0000e+00	0.0000e+00	0.0000e+00	
geo astrometric, ICRF, equatorial	2488069.5	Mars osc aphelion	6.9323e-08	1.3069e-07	1.6084e-10	
geo astrometric, ICRF, equatorial	2488069.5	Jupiter mean asc node	0.0000e+00	0.0000e+00	0.0000e+00	
geo astrometric, ICRF, equatorial	2488069.5	Jupiter osc asc node	3.6521e-08	4.2812e-07	2.8424e-11	
geo astrometric, ICRF, equatorial	2488069.5	Jupiter mean desc node	0.0000e+00	0.0000e+00	0.0000e+00	
geo astrometric, ICRF, equatorial	2488069.5	Jupiter osc desc node	2.4103e-08	2.9246e-07	2.1826e-11	
geo astrometric, ICRF, equatorial	2488069.5	Jupiter mean perihelion	6.4423e-13	0.0000e+00	0.0000e+00	
geo astrometric, ICRF, equatorial	2488069.5	Jupiter osc perihelion	8.5234e-09	1.1361e-07	1.2812e-10	
geo astrometric, ICRF, equatorial	2488069.5	Jupiter mean aphelion	0.0000e+00	0.0000e+00	0.0000e+00	
geo astrometric, ICRF, equatorial	2488069.5	Jupiter osc aphelion	5.5709e-09	1.1098e-07	1.1166e-10	
geo astrometric, ICRF, equatorial	2488069.5	Saturn mean asc node	0.0000e+00	0.0000e+00	0.0000e+00	
geo astrometric, ICRF, equatorial	2488069.5	Saturn osc asc node	6.8772e-08	3.5286e-07	1.0292e-11	
geo astrometric, ICRF, equatorial	2488069.5	Saturn mean desc node	0.0000e+00	0.0000e+00	0.0000e+00	
geo astrometric, ICRF, equatorial	2488069.5	Saturn osc desc node	5.0445e-08	2.8984e-07	6.4545e-12	
geo astrometric, ICRF, equatorial	2488069.5	Saturn mean perihelion	1.9403e-11	0.0000e+00	0.0000e+00	
geo astrometric, ICRF, equatorial	2488069.5	Saturn osc perihelion	2.3150e-08	3.9578e-07	2.0572e-11	
geo astrometric, ICRF, equatorial	2488069.5	Saturn mean aphelion	0.0000e+00	0.0000e+00	0.0000e+00	
geo astrometric, ICRF, equatorial	2488069.5	Saturn osc aphelion	2.0723e-08	3.2196e-07	1.1725e-11	
geo astrometric, ICRF, equatorial	2488069.5	Moon natural apogee	5.0520e-08	1.1839e-07	1.3847e-16	
geo astrometric, ICRF, equatorial	2488069.5	Moon natural perigee	8.0445e-05	4.0830e-05	3.6662e-11	
geo astrometric, ICRF, equatorial	2488069.5	Sirius	3.9754e-12	4.5768e-13	3.2547e-14	
geo astrometric, ICRF, equatorial	2488069.5	Vega	4.9676e-11	3.4432e-12	4.5700e-14	
geo astrometric, ICRF, equatorial	2488069.5	Polaris	7.5718e-12	2.0477e-12	8.4826e-14	
geo astrometric, ICRF, equatorial	2488069.5	Rigil Kentaurus	2.5217e-10	1.3853e-11	1.1703e-13	
geo apparent, J2000, ecliptic	2378496.5	Sun				unanswered errCode 3
geo apparent, J2000, ecliptic	2378496.5	Moon				unanswered errCode 3
geo apparent, J2000, ecliptic	2378496.5	Mercury				unanswered errCode 3
geo apparent, J2000, ecliptic	2378496.5	Venus				unanswered errCode 3
geo apparent, J2000, ecliptic	2378496.5	Earth	0.0000e+00	0.0000e+00	0.0000e+00	
geo apparent, J2000, ecliptic	2378496.5	Mars				unanswered errCode 3
geo apparent, J2000, ecliptic	2378496.5	Jupiter				unanswered errCode 3
geo apparent, J2000, ecliptic	2378496.5	Saturn				unanswered errCode 3
geo apparent, J2000, ecliptic	2378496.5	Uranus				unanswered errCode 3
geo apparent, J2000, ecliptic	2378496.5	Neptune				unanswered errCode 3
geo apparent, J2000, ecliptic	2378496.5	Pluto				unanswered errCode 3
geo apparent, J2000, ecliptic	2378496.5	Moon mean asc node				unanswered errCode 4
geo apparent, J2000, ecliptic	2378496.5	Moon osc asc node	8.7658e-08	2.4891e-07	6.0671e-12	
geo apparent, J2000, ecliptic	2378496.5	Moon mean desc node				unanswered errCode 4
geo apparent, J2000, ecliptic	2378496.5	Moon osc desc node				unanswered errCode 3
