surfaces		corrmask 7 observers						27	3								differs	
refusals		4	bary			4			answered, errCode 2								expected-difference	unlisted in WELCOME; 3.5a requires ERROR 11; astrolog-ephd accepts unlisted masks by decision (an orbit point from the Sun honours bits a body there cannot), a spec question
refusals		4	bary			5			answered, errCode 0								expected-difference	unlisted in WELCOME; 3.5a requires ERROR 11; astrolog-ephd accepts unlisted masks by decision (an orbit point from the Sun honours bits a body there cannot), a spec question
refusals		4	bary			6			answered, errCode 2								expected-difference	unlisted in WELCOME; 3.5a requires ERROR 11; astrolog-ephd accepts unlisted masks by decision (an orbit point from the Sun honours bits a body there cannot), a spec question
refusals		4	bary			7			answered, errCode 0								expected-difference	unlisted in WELCOME; 3.5a requires ERROR 11; astrolog-ephd accepts unlisted masks by decision (an orbit point from the Sun honours bits a body there cannot), a spec question
refusals		4	jupiter			2			answered, errCode 2								expected-difference	unlisted in WELCOME; 3.5a requires ERROR 11; astrolog-ephd accepts unlisted masks by decision (an orbit point from the Sun honours bits a body there cannot), a spec question
refusals		4	jupiter			3			answered, errCode 0								expected-difference	unlisted in WELCOME; 3.5a requires ERROR 11; astrolog-ephd accepts unlisted masks by decision (an orbit point from the Sun honours bits a body there cannot), a spec question
refusals		4	jupiter			4			answered, errCode 2								expected-difference	unlisted in WELCOME; 3.5a requires ERROR 11; astrolog-ephd accepts unlisted masks by decision (an orbit point from the Sun honours bits a body there cannot), a spec question
refusals		4	jupiter			6			answered, errCode 2								expected-difference	unlisted in WELCOME; 3.5a requires ERROR 11; astrolog-ephd accepts unlisted masks by decision (an orbit point from the Sun honours bits a body there cannot), a spec question
refusals		4	jupiter			7			answered, errCode 0								expected-difference	unlisted in WELCOME; 3.5a requires ERROR 11; astrolog-ephd accepts unlisted masks by decision (an orbit point from the Sun honours bits a body there cannot), a spec question
same	2378496.5	10	geo	ICRF	equator	0	69.2	284.3749406869/-22.8063780084	284.3749406340/-22.8063780305			1.930e-04			0.0021034885	2	agree	DE440 against Swiss .se1 (DE441 refit)
same	2378496.5	301	geo	ICRF	equator	0	69.2	353.4166544219/-6.8107211529	353.4166597831/-6.8107185273			0.0213684053			0.002	2	unadjudicated	DE440 against Swiss .se1 (DE441 refit); the anchor leg was not answered here
same	2378496.5	199	geo	ICRF	equator	0	69.2	271.2078005259/-20.2400237041	271.2078004369/-20.2400237562			3.542e-04			0.002	2	agree	DE440 against Swiss .se1 (DE441 refit)
same	2378496.5	299	geo	ICRF	equator	0	69.2	234.9058416108/-16.1935667919	234.9058417001/-16.1935668217			3.269e-04			0.002	2	agree	DE440 against Swiss .se1 (DE441 refit)
same	2378496.5	4	geo	ICRF	equator	0	69.2	245.3376300731/-21.4054839059	245.3376300836/-21.4054839076			3.565e-05			0.002	2	agree	DE440 against Swiss .se1 (DE441 refit)
same	2378496.5	5	geo	ICRF	equator	0	69.2	87.0842841555/23.1350288948	87.0842839862/23.1350289270			5.723e-04			0.002	2	agree	DE440 against Swiss .se1 (DE441 refit)
same	2378496.5	6	geo	ICRF	equator	0	69.2	134.2485498695/17.9617525443	134.2485499876/17.9617526388			5.283e-04			0.002	2	agree	DE440 against Swiss .se1 (DE441 refit)
same	2378496.5	7	geo	ICRF	equator	0	69.2	180.2336161280/0.7346811103	180.2336161442/0.7346811974			3.191e-04			0.002	2	agree	DE440 against Swiss .se1 (DE441 refit)
same	2378496.5	8	geo	ICRF	equator	0	69.2	227.4571337593/-15.9228572045	227.4571336858/-15.9228571782			2.714e-04			0.002	2	agree	DE440 against Swiss .se1 (DE441 refit)
same	2378496.5	9	geo	ICRF	equator	0	69.2	340.7946409113/-21.2111852445	340.7946409344/-21.2111853441			3.669e-04			0.002	2	agree	DE440 against Swiss .se1 (DE441 refit)
same	2415020.5	10	geo	ICRF	equator	0	69.2	282.5592891103/-22.9495643244	282.5592891159/-22.9495642808			1.583e-04			0.00210339022	2	agree	DE440 against Swiss .se1 (DE441 refit)
same	2415020.5	301	geo	ICRF	equator	0	69.2	274.1158526758/-22.2894949743	274.1158535156/-22.2894948909			0.00281364908			0.002	2	expected-difference	DE440 against Swiss .se1 (DE441 refit); each server inside its own Horizons band here, so the gap is their sources' (DE440 vs DE441 / the .se1 refit)
same	2415020.5	199	geo	ICRF	equator	0	69.2	259.6391401458/-21.9821368230	259.6391401897/-21.9821367765			2.225e-04			0.002	2	agree	DE440 against Swiss .se1 (DE441 refit)
same	2415020.5	299	geo	ICRF	equator	0	69.2	310.6514096721/-19.9602871361	310.6514095470/-19.9602870845			4.619e-04			0.002	2	agree	DE440 against Swiss .se1 (DE441 refit)
same	2415020.5	4	geo	ICRF	equator	0	69.2	286.6871494504/-23.4967776386	286.6871494981/-23.4967775853			2.483e-04			0.002	2	agree	DE440 against Swiss .se1 (DE441 refit)
same	2415020.5	5	geo	ICRF	equator	0	69.2	240.6335724830/-19.8807242128	240.6335726070/-19.8807242344			4.271e-04			0.002	2	agree	DE440 against Swiss .se1 (DE441 refit)
same	2415020.5	6	geo	ICRF	equator	0	69.2	269.0436232557/-22.4417433173	269.0436232860/-22.4417433821			2.540e-04			0.002	2	agree	DE440 against Swiss .se1 (DE441 refit)
same	2415020.5	7	geo	ICRF	equator	0	69.2	250.0110753709/-22.1165512351	250.0110754611/-22.1165512103			3.139e-04			0.002	2	agree	DE440 against Swiss .se1 (DE441 refit)
same	2415020.5	8	geo	ICRF	equator	0	69.2	86.3370452427/22.1096093749	86.3370452298/22.1096094122			1.408e-04			0.002	2	agree	DE440 against Swiss .se1 (DE441 refit)
same	2415020.5	9	geo	ICRF	equator	0	69.2	76.4803338257/13.0509710930	76.4803338677/13.0509710850			1.501e-04			0.002	2	agree	DE440 against Swiss .se1 (DE441 refit)
same	2442413.5	10	geo	ICRF	equator	0	69.2	281.1871756364/-23.0441333346	281.1871756783/-23.0441333160			1.540e-04			0.00210332621	2	agree	DE440 against Swiss .se1 (DE441 refit)
same	2442413.5	301	geo	ICRF	equator	0	69.2	140.3935739857/10.3341035689	140.3935739451/10.3341035609			1.464e-04			0.002	2	agree	DE440 against Swiss .se1 (DE441 refit)
same	2442413.5	199	geo	ICRF	equator	0	69.2	289.1564316044/-24.3989096853	289.1564316436/-24.3989096762			1.327e-04			0.002	2	agree	DE440 against Swiss .se1 (DE441 refit)
same	2442413.5	299	geo	ICRF	equator	0	69.2	295.8378145735/-22.5715639385	295.8378145540/-22.5715639593			9.925e-05			0.002	2	agree	DE440 against Swiss .se1 (DE441 refit)
same	2442413.5	4	geo	ICRF	equator	0	69.2	254.0322519100/-22.8363026217	254.0322520292/-22.8363026392			4.005e-04			0.002	2	agree	DE440 against Swiss .se1 (DE441 refit)
same	2442413.5	5	geo	ICRF	equator	0	69.2	345.4006861143/-7.5003246976	345.4006861238/-7.5003246164			2.944e-04			0.002	2	agree	DE440 against Swiss .se1 (DE441 refit)
same	2442413.5	6	geo	ICRF	equator	0	69.2	107.5355408263/22.0601694954	107.5355407772/22.0601695126			1.753e-04			0.002	2	agree	DE440 against Swiss .se1 (DE441 refit)
same	2442413.5	7	geo	ICRF	equator	0	69.2	210.2303303827/-11.7459296965	210.2303303269/-11.7459296441			2.726e-04			0.002	2	agree	DE440 against Swiss .se1 (DE441 refit)
same	2442413.5	8	geo	ICRF	equator	0	69.2	249.4274342899/-20.5585733253	249.4274342418/-20.5585733440			1.755e-04			0.002	2	agree	DE440 against Swiss .se1 (DE441 refit)
same	2442413.5	9	geo	ICRF	equator	0	69.2	195.4397614424/11.6142657064	195.4397614420/11.6142656155			3.272e-04			0.002	2	agree	DE440 against Swiss .se1 (DE441 refit)
same	2451545	10	geo	ICRF	equator	0	69.2	281.2881650393/-23.0333099689	281.2881651939/-23.0333100065			5.299e-04			0.00210325881	2	agree	DE440 against Swiss .se1 (DE441 refit)
same	2451545	301	geo	ICRF	equator	0	69.2	222.4472994888/-10.9001860483	222.4472996571/-10.9001860333			5.976e-04			0.002	2	agree	DE440 against Swiss .se1 (DE441 refit)
same	2451545	199	geo	ICRF	equator	0	69.2	272.0916421604/-24.4210056820	272.0916422938/-24.4210057082			4.474e-04			0.002	2	agree	DE440 against Swiss .se1 (DE441 refit)
same	2451545	299	geo	ICRF	equator	0	69.2	239.9037373362/-18.4526477537	239.9037374455/-18.4526478275			4.580e-04			0.002	2	agree	DE440 against Swiss .se1 (DE441 refit)
same	2451545	4	geo	ICRF	equator	0	69.2	330.5282478315/-13.1791410260	330.5282478668/-13.1791410889			2.579e-04			0.002	2	agree	DE440 against Swiss .se1 (DE441 refit)
same	2451545	5	geo	ICRF	equator	0	69.2	23.8722227277/8.5968351397	23.8722227224/8.5968351852			1.648e-04			0.002	2	agree	DE440 against Swiss .se1 (DE441 refit)
same	2451545	6	geo	ICRF	equator	0	69.2	38.7678688555/12.6168911319	38.7678690762/12.6168911307			7.752e-04			0.002	2	agree	DE440 against Swiss .se1 (DE441 refit)
same	2451545	7	geo	ICRF	equator	0	69.2	317.4850371961/-17.0184915108	317.4850371904/-17.0184915146			2.410e-05			0.002	2	agree	DE440 against Swiss .se1 (DE441 refit)
same	2451545	8	geo	ICRF	equator	0	69.2	305.4436991245/-19.2122297296	305.4436990898/-19.2122297376			1.214e-04			0.002	2	agree	DE440 against Swiss .se1 (DE441 refit)
same	2451545	9	geo	ICRF	equator	0	69.2	251.4291827246/-11.3968418737	251.4291826804/-11.3968417811			3.682e-04			0.002	2	agree	DE440 against Swiss .se1 (DE441 refit)
same	2459001.5	10	geo	ICRF	equator	0	69.2	69.1050263899/22.0475342059	69.1050262627/22.0475340892			5.972e-04			0.00203953106	2	agree	DE440 against Swiss .se1 (DE441 refit)
same	2459001.5	301	geo	ICRF	equator	0	69.2	186.9705334216/2.6711811343	186.9705335770/2.6711809780			7.932e-04			0.002	2	agree	DE440 against Swiss .se1 (DE441 refit)
same	2459001.5	199	geo	ICRF	equator	0	69.2	94.2518600606/25.3461017010	94.2518601805/25.3461016076			5.151e-04			0.002	2	agree	DE440 against Swiss .se1 (DE441 refit)
same	2459001.5	299	geo	ICRF	equator	0	69.2	73.6084727865/23.7163505331	73.6084725107/23.7163500292			0.00202899711			0.0035691835	2	agree	DE440 against Swiss .se1 (DE441 refit)
same	2459001.5	4	geo	ICRF	equator	0	69.2	344.7113176741/-9.0944627725	344.7113175337/-9.0944626214			7.383e-04			0.002	2	agree	DE440 against Swiss .se1 (DE441 refit)
same	2459001.5	5	geo	ICRF	equator	0	69.2	298.5458910337/-21.0633663734	298.5458909458/-21.0633663574			3.007e-04			0.002	2	agree	DE440 against Swiss .se1 (DE441 refit)
same	2459001.5	6	geo	ICRF	equator	0	69.2	303.5966085467/-20.0111678967	303.5966086246/-20.0111677907			4.637e-04			0.002	2	agree	DE440 against Swiss .se1 (DE441 refit)
same	2459001.5	7	geo	ICRF	equator	0	69.2	36.0611644697/13.8430855684	36.0611644385/13.8430855479			1.315e-04			0.002	2	agree	DE440 against Swiss .se1 (DE441 refit)
same	2459001.5	8	geo	ICRF	equator	0	69.2	351.7329149416/-4.7166292990	351.7329149774/-4.7166292127			3.360e-04			0.002	2	agree	DE440 against Swiss .se1 (DE441 refit)
same	2459001.5	9	geo	ICRF	equator	0	69.2	296.4939046102/-22.1440747047	296.4939046431/-22.1440747069			1.099e-04			0.002	2	agree	DE440 against Swiss .se1 (DE441 refit)
same	2461299.5	10	geo	ICRF	equator	0	69.2	173.3793569742/2.8613556359	173.3793569032/2.8613556585			2.678e-04			0.00205680679	2	agree	DE440 against Swiss .se1 (DE441 refit)
